Option,None of the above,Not None of the above
Protestant,11,103
Catholic,4,149
Other Christian,2,63
Jewish,7,103
Muslim,3,10
Hindu,1,16
Buddhist,1,24
Other religion,17,94
Agnostic,10,176
Atheist,16,170
