Option,Non-University grants and scholarships,Not Non-University grants and scholarships
Protestant,27,87
Catholic,42,111
Other Christian,19,46
Jewish,22,88
Muslim,2,11
Hindu,4,13
Buddhist,5,20
Other religion,28,83
Agnostic,50,136
Atheist,38,148
