Option,My parents borrow money from outside sources,Not My parents borrow money from outside sources
Protestant,5,109
Catholic,9,144
Other Christian,2,63
Jewish,6,104
Muslim,1,12
Hindu,0,17
Buddhist,0,25
Other religion,5,106
Agnostic,19,167
Atheist,9,177
