Option,Hispanic,Not Hispanic
Protestant,4,110
Catholic,39,114
Other Christian,8,58
Jewish,0,112
Muslim,0,13
Hindu,0,17
Buddhist,0,25
Other religion,13,97
Agnostic,16,169
Atheist,10,176
