Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Protestant,47,2,26,22,17
Catholic,50,5,40,34,23
Other Christian,22,4,15,16,7
Jewish,81,10,10,8,2
Muslim,5,1,2,2,3
Hindu,14,2,0,1,0
Buddhist,12,2,1,9,1
Other religion,53,4,23,19,11
Agnostic,86,15,44,34,8
Atheist,115,3,27,29,11
