Option,Asian,Not Asian
Protestant,36,78
Catholic,29,124
Other Christian,11,55
Jewish,7,105
Muslim,4,9
Hindu,15,2
Buddhist,22,3
Other religion,30,80
Agnostic,49,136
Atheist,54,132
