Option,Other,Not Other
Protestant,5,109
Catholic,6,147
Other Christian,2,64
Jewish,5,107
Muslim,5,8
Hindu,2,15
Buddhist,0,25
Other religion,10,100
Agnostic,10,175
Atheist,7,179
