Option,Heterosexual,Homosexual,Bisexual,Other
Protestant,102,6,2,2
Catholic,143,4,5,1
Other Christian,62,1,1,2
Jewish,95,11,5,1
Muslim,12,0,0,0
Hindu,14,1,1,0
Buddhist,23,1,1,0
Other religion,85,13,3,9
Agnostic,156,15,7,8
Atheist,147,22,9,7
