Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,I do not know what UCS is
Protestant,8,27,69,4,0,6
Catholic,16,35,73,11,4,14
Other Christian,9,17,29,5,0,5
Jewish,6,24,66,7,2,6
Muslim,1,6,4,1,1,0
Hindu,1,11,4,0,0,0
Buddhist,3,4,11,5,2,0
Other religion,7,20,66,5,6,7
Agnostic,8,44,109,11,3,10
Atheist,4,36,117,14,3,12
