Option,University grants and scholarships,Not University grants and scholarships
Protestant,67,47
Catholic,106,47
Other Christian,45,20
Jewish,32,78
Muslim,7,6
Hindu,6,11
Buddhist,13,12
Other religion,56,55
Agnostic,105,81
Atheist,78,108
