Option,Black,Not Black
Protestant,29,85
Catholic,13,140
Other Christian,31,35
Jewish,4,108
Muslim,3,10
Hindu,0,17
Buddhist,0,25
Other religion,9,101
Agnostic,10,175
Atheist,7,179
