Option,"Physical sciences (incl. math, CS)","Not Physical sciences (incl. math, CS)"
Protestant,26,77
Catholic,40,103
Other Christian,18,45
Jewish,28,79
Muslim,2,11
Hindu,7,10
Buddhist,9,16
Other religion,34,76
Agnostic,58,127
Atheist,42,142
