Option,18-24,25-29,30-34,35-39,40 or older,I don't intend to get married,I am already married,Not sure
Protestant,5,57,29,4,0,2,0,12
Catholic,4,78,43,6,0,1,0,19
Other Christian,4,41,14,1,0,0,0,3
Jewish,3,55,29,0,0,1,0,16
Muslim,1,10,1,0,0,0,0,1
Hindu,0,11,3,0,0,1,0,1
Buddhist,1,13,7,1,0,1,0,1
Other religion,6,46,23,3,1,7,0,22
Agnostic,3,67,62,1,1,5,1,39
Atheist,2,76,50,8,0,14,1,32
