Option,Male,Female,Other
Protestant,56,58,0
Catholic,60,95,0
Other Christian,19,47,0
Jewish,57,54,1
Muslim,4,9,0
Hindu,8,8,0
Buddhist,11,14,0
Other religion,53,55,2
Agnostic,85,100,1
Atheist,98,84,3
