Option,First-year,Sophomore,Junior,Senior
Protestant,35,31,26,22
Catholic,33,48,31,42
Other Christian,19,22,15,9
Jewish,27,29,29,27
Muslim,4,0,4,5
Hindu,8,1,5,3
Buddhist,11,8,3,3
Other religion,39,30,20,21
Agnostic,47,45,56,38
Atheist,56,46,43,41
