Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Yes,18,32,12,9,0,0,2,11,21,15
No,94,123,54,101,13,17,23,99,162,170
