Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
Heterosexual,169,264,188,77,52,112
Homosexual,24,20,10,8,3,9
Bisexual,14,14,3,1,0,6
Other,14,9,3,0,1,3
