Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Heterosexual,97,280,417,58,12
Homosexual,6,27,30,9,1
Bisexual,6,11,19,2,0
Other,1,3,19,7,0
