Option,"Yes, I support converting all bathrooms","Yes, I support converting some bathrooms","No, I do not support converting any bathrooms",Don't know
Heterosexual,210,410,141,99
Homosexual,39,28,6,0
Bisexual,11,20,5,2
Other,17,10,1,2
