Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Heterosexual,102,143,62,95,12,14,23,85,156,147
Homosexual,6,4,1,11,0,1,1,13,15,22
Bisexual,2,5,1,5,0,1,1,3,7,9
Other,2,1,2,1,0,0,0,9,8,7
