Option,18-24,25-29,30-34,35-39,40 or older,I don't intend to get married,I am already married,Not sure
"Physical sciences (incl. math, CS)",9,135,67,6,0,6,0,40
"Not Physical sciences (incl. math, CS)",20,317,196,17,2,26,2,103
