Option,More than once a day,Once a day,Three to five times a week,Once or twice a week,Once or twice a month,Less than once a month,I have never masturbated
"Physical sciences (incl. math, CS)",3,20,46,69,27,29,45
"Not Physical sciences (incl. math, CS)",10,56,106,159,104,93,121
