Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Humanities/arts,36,35,26,37,5,3,1,51,63,68
Not Humanities/arts,67,108,37,70,8,14,24,59,122,116
