Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,I do not know what UCS is
"Physical sciences (incl. math, CS)",12,61,152,17,7,20
"Not Physical sciences (incl. math, CS)",48,164,392,46,14,42
