Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
"Physical sciences (incl. math, CS)",48,77,60,30,16,37
"Not Physical sciences (incl. math, CS)",166,222,138,53,38,92
