Option,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,I am aware of the plan but do not know enough to have an opinion,I have not heard of the strategic plan
"Physical sciences (incl. math, CS)",13,60,11,3,138,43
"Not Physical sciences (incl. math, CS)",37,145,58,13,346,108
