Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
"Physical sciences (incl. math, CS)",26,40,18,28,2,7,9,34,58,42
"Not Physical sciences (incl. math, CS)",77,103,45,79,11,10,16,76,127,142
