Option,"Yes, I support converting all bathrooms","Yes, I support converting some bathrooms","No, I do not support converting any bathrooms",Don't know
"Physical sciences (incl. math, CS)",73,123,38,35
"Not Physical sciences (incl. math, CS)",196,330,111,66
