Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Life sciences,22,28,12,20,6,3,11,17,38,39
Not Life sciences,81,115,51,87,7,14,14,93,147,145
