Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Very conservative,5,8,0,10,4
Somewhat cons,18,52,11,53,13
Centrist,38,57,13,23,8
Somewhat liberal,119,160,26,58,11
Very lib,99,82,10,18,9
No opinion,17,33,28,25,3
