Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Very conservative,9,13,1,1,3
Somewhat cons,52,56,4,15,20
Centrist,50,48,6,18,16
Somewhat liberal,144,107,24,33,60
Very lib,92,60,15,17,33
No opinion,19,37,5,12,34
