Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Very conservative,5,7,9,4,2
Somewhat cons,10,58,56,22,1
Centrist,14,53,40,24,7
Somewhat liberal,18,132,130,88,7
Very lib,10,78,44,68,16
No opinion,8,25,60,13,1
