Option,Hetero,Gay,Bisexual,Other
Very conservative,25,0,0,1
Somewhat cons,141,2,1,2
Centrist,123,4,8,3
Somewhat liberal,314,20,21,15
Very lib,160,23,11,18
No opinion,89,7,5,6
