Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Very conservative,7,12,1,2,5
Somewhat cons,37,56,6,18,30
Centrist,36,46,4,20,33
Somewhat liberal,111,90,45,36,91
Very lib,80,44,29,19,46
No opinion,24,22,5,10,45
