Option,First-year,Sophomore,Junior,Senior
Very conservative,5,5,8,9
Somewhat cons,32,31,44,40
Centrist,31,45,31,32
Somewhat liberal,98,99,74,103
Very lib,45,58,51,63
No opinion,24,26,31,26
