Option,Grad students have been mentors (formal or informal) to me,Not Grad students have been mentors (formal or informal) to me
Very conservative,5,22
Somewhat cons,31,116
Centrist,35,102
Somewhat liberal,91,280
Very lib,58,160
No opinion,26,80
