Option,"No, I do not feel inadequate relative to other Brown students","Not No, I do not feel inadequate relative to other Brown students"
Very conservative,20,7
Somewhat cons,77,67
Centrist,72,66
Somewhat liberal,157,214
Very lib,63,152
No opinion,45,60
