Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Very conservative,27,0,0,0,0,0
Somewhat cons,0,147,0,0,0,0
Centrist,0,0,139,0,0,0
Somewhat liberal,0,0,0,375,0,0
Very lib,0,0,0,0,218,0
No opinion,0,0,0,0,0,107
