Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
Very conservative,0,27
Somewhat cons,0,147
Centrist,0,139
Somewhat liberal,0,373
Very lib,0,217
No opinion,0,106
