Option,Very positive,Somewhat positive,Neutral,Somewhat negative,Very negative,I have not interacted with grad students
Very conservative,10,5,6,1,1,4
Somewhat cons,66,42,28,3,0,7
Centrist,62,49,23,1,0,4
Somewhat liberal,144,133,59,5,2,26
Very lib,90,69,45,5,1,8
No opinion,43,33,23,1,0,7
