Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Very conservative,5,6,6,4,6,0
Somewhat cons,0,26,21,59,37,0
Centrist,2,6,21,45,61,1
Somewhat liberal,2,7,9,117,233,5
Very lib,0,3,2,20,191,0
No opinion,0,8,7,35,33,24
