Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
Very conservative,4,5,1,5,12,0
Somewhat cons,17,31,16,42,39,2
Centrist,19,18,17,47,33,4
Somewhat liberal,42,101,49,97,71,12
Very lib,24,59,21,64,42,7
No opinion,6,23,16,30,23,9
