Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Very conservative,18,0,6,2,1
Somewhat cons,89,7,29,14,8
Centrist,78,9,25,18,9
Somewhat liberal,189,20,69,58,37
Very lib,98,15,41,40,23
No opinion,49,3,21,15,19
