Option,I have interacted with grad students while doing research,Not I have interacted with grad students while doing research
'50 minutes',2,9
'40 minutes',4,12
'30 minutes',15,36
'20 minutes',29,96
'10 minutes',86,291
'0 minutes',34,107
I do not use my laptop in class,56,227
