Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
'50 minutes',2,6,0,1,2
'40 minutes',2,5,2,1,6
'30 minutes',19,23,2,4,3
'20 minutes',39,50,3,14,19
'10 minutes',138,120,16,43,60
'0 minutes',58,35,11,10,25
I do not use my laptop in class,108,80,21,23,51
