Option,Humanities/arts,Not Humanities/arts
'50 minutes',3,8
'40 minutes',3,13
'30 minutes',13,37
'20 minutes',24,101
'10 minutes',94,279
'0 minutes',39,100
I do not use my laptop in class,85,200
