Option,Hetero,Gay,Bisexual,Other
'50 minutes',9,0,0,0
'40 minutes',12,2,1,0
'30 minutes',45,2,3,1
'20 minutes',112,4,5,4
'10 minutes',319,23,17,15
'0 minutes',117,9,6,7
I do not use my laptop in class,234,16,14,18
