Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
'50 minutes',0,1,0,2,5,3
'40 minutes',1,4,1,5,4,1
'30 minutes',2,9,7,17,11,5
'20 minutes',3,22,9,58,16,17
'10 minutes',10,47,59,146,86,31
'0 minutes',2,27,16,54,26,17
I do not use my laptop in class,9,35,46,92,70,33
