Option,I have had grad students as teaching assistants,Not I have had grad students as teaching assistants
'50 minutes',8,3
'40 minutes',9,7
'30 minutes',38,13
'20 minutes',99,26
'10 minutes',301,76
'0 minutes',112,29
I do not use my laptop in class,238,45
