Option,'50 minutes','40 minutes','30 minutes','20 minutes','10 minutes','0 minutes',I do not use my laptop in class
'50 minutes',11,0,0,0,0,0,0
'40 minutes',0,16,0,0,0,0,0
'30 minutes',0,0,51,0,0,0,0
'20 minutes',0,0,0,125,0,0,0
'10 minutes',0,0,0,0,379,0,0
'0 minutes',0,0,0,0,0,142,0
I do not use my laptop in class,0,0,0,0,0,0,285
