Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
'50 minutes',0,0,1,3,5,2
'40 minutes',0,3,0,4,9,0
'30 minutes',2,3,1,16,26,3
'20 minutes',2,8,6,38,64,6
'10 minutes',3,20,21,101,222,7
'0 minutes',1,6,12,36,77,8
I do not use my laptop in class,1,15,25,80,157,4
