Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
'50 minutes',2,4,1,1,3
'40 minutes',1,4,3,3,5
'30 minutes',12,21,7,1,10
'20 minutes',34,41,15,13,22
'10 minutes',113,98,24,50,92
'0 minutes',49,32,11,11,39
I do not use my laptop in class,84,69,29,25,78
