Option,"No, I do not feel inadequate relative to other Brown students","Not No, I do not feel inadequate relative to other Brown students"
'50 minutes',3,7
'40 minutes',8,8
'30 minutes',22,29
'20 minutes',44,79
'10 minutes',166,210
'0 minutes',59,81
I do not use my laptop in class,130,151
