Option,"American ""Indian/Alaska Native""","Not American ""Indian/Alaska Native"""
'50 minutes',0,11
'40 minutes',0,16
'30 minutes',0,51
'20 minutes',0,125
'10 minutes',0,376
'0 minutes',0,142
I do not use my laptop in class,0,284
