Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Yes,295,0,0,0,0
"No, they were too harsh",0,270,0,0,0
"No, they were too lenient",0,0,90,0,0
No opinion,0,0,0,105,0
Not familiar enough to answer,0,0,0,0,250
