Option,"No, I do not feel inadequate relative to other Brown students","Not No, I do not feel inadequate relative to other Brown students"
Yes,119,173
"No, they were too harsh",143,124
"No, they were too lenient",29,60
No opinion,44,59
Not familiar enough to answer,99,148
