Option,Hetero,Gay,Bisexual,Other
Yes,232,20,18,19
"No, they were too harsh",252,8,3,4
"No, they were too lenient",61,7,11,9
No opinion,92,8,3,1
Not familiar enough to answer,213,13,10,12
