Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
Yes,68,102,28,62,32,3
"No, they were too harsh",2,31,16,93,128,0
"No, they were too lenient",23,18,3,27,18,1
No opinion,3,21,39,26,14,1
Not familiar enough to answer,16,65,34,76,28,28
