Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Yes,149,14,59,39,33
"No, they were too harsh",171,11,46,29,12
"No, they were too lenient",33,6,16,18,17
No opinion,49,4,18,26,7
Not familiar enough to answer,118,19,52,34,27
