Option,Grad students have been mentors (formal or informal) to me,Not Grad students have been mentors (formal or informal) to me
Yes,89,206
"No, they were too harsh",44,223
"No, they were too lenient",32,58
No opinion,24,79
Not familiar enough to answer,56,193
