Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Yes,213,47,17,7,8
"No, they were too harsh",50,172,4,21,22
"No, they were too lenient",29,31,21,3,5
No opinion,19,23,2,53,7
Not familiar enough to answer,55,47,11,12,123
