Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Yes,7,37,36,111,80,24
"No, they were too harsh",12,56,46,90,44,22
"No, they were too lenient",1,6,4,45,29,5
No opinion,2,18,20,36,19,10
Not familiar enough to answer,5,30,33,91,46,45
