Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Yes,3,13,14,67,189,6
"No, they were too harsh",3,18,24,87,127,7
"No, they were too lenient",1,5,2,16,66,0
No opinion,1,9,9,33,45,7
Not familiar enough to answer,1,11,17,75,133,10
