Option,First-year,Sophomore,Junior,Senior
Yes,61,63,77,93
"No, they were too harsh",72,85,62,50
"No, they were too lenient",14,19,30,27
No opinion,23,31,20,31
Not familiar enough to answer,64,65,50,71
